INFO - asvspoof19 - Running command 'main'
INFO - asvspoof19 - Started run with ID "24"
squeeze-and-excitation network
===> Model total parameter: 1344276
Epoch: [1][0/844]	Time 6.460 (6.460)	Data 2.600 (2.600)	LR 0.000004	Loss 0.8044 (0.8044)	Acc@1 1.953 (1.953)
Epoch: [1][100/844]	Time 1.166 (1.327)	Data 0.000 (0.172)	LR 0.000399	Loss 0.5894 (0.3734)	Acc@1 78.125 (89.202)
Epoch: [1][200/844]	Time 1.191 (1.314)	Data 0.000 (0.152)	LR 0.000795	Loss 0.4150 (0.3461)	Acc@1 85.938 (89.778)
Epoch: [1][300/844]	Time 1.215 (1.309)	Data 0.000 (0.138)	LR 0.001190	Loss 0.2484 (0.3447)	Acc@1 93.750 (89.644)
Epoch: [1][400/844]	Time 1.203 (1.307)	Data 0.000 (0.128)	LR 0.001585	Loss 0.2037 (0.3382)	Acc@1 95.312 (89.822)
tee: standard output: Input/output error
Epoch: [1][500/844]	Time 1.154 (1.384)	Data 0.000 (0.126)	LR 0.001980	Loss 0.3461 (0.3371)	Acc@1 89.062 (89.802)
Epoch: [1][600/844]	Time 1.227 (1.365)	Data 0.000 (0.116)	LR 0.002376	Loss 0.2766 (0.3360)	Acc@1 92.188 (89.816)
Epoch: [1][700/844]	Time 1.385 (1.353)	Data 0.183 (0.108)	LR 0.002771	Loss 0.2770 (0.3335)	Acc@1 92.188 (89.896)
Epoch: [1][800/844]	Time 1.247 (1.343)	Data 0.012 (0.101)	LR 0.003166	Loss 0.3101 (0.3320)	Acc@1 90.625 (89.940)
Test: [0/134730]	Time 0.307 (0.307)	Loss 1.8668 (1.8668)	Acc@1 0.000 (0.000)
Test: [100/134730]	Time 0.015 (0.025)	Loss 1.9175 (0.5985)	Acc@1 0.000 (74.843)
Test: [200/134730]	Time 0.015 (0.024)	Loss 0.1543 (0.4682)	Acc@1 100.000 (82.388)
Test: [300/134730]	Time 0.025 (0.024)	Loss 0.1652 (0.4612)	Acc@1 100.000 (82.897)
Test: [400/134730]	Time 0.015 (0.023)	Loss 0.1569 (0.4398)	Acc@1 100.000 (84.148)
Test: [500/134730]	Time 0.015 (0.023)	Loss 0.1548 (0.4309)	Acc@1 100.000 (84.634)
Test: [600/134730]	Time 0.045 (0.023)	Loss 0.1842 (0.4290)	Acc@1 100.000 (84.737)
Test: [700/134730]	Time 0.026 (0.023)	Loss 0.1914 (0.4133)	Acc@1 100.000 (85.726)
Test: [800/134730]	Time 0.036 (0.023)	Loss 0.1895 (0.4016)	Acc@1 100.000 (86.465)
Test: [900/134730]	Time 0.021 (0.023)	Loss 0.1952 (0.3903)	Acc@1 100.000 (87.173)
Test: [1000/134730]	Time 0.021 (0.023)	Loss 1.7325 (0.4011)	Acc@1 0.000 (86.511)
Test: [1100/134730]	Time 0.014 (0.023)	Loss 0.1822 (0.4041)	Acc@1 100.000 (86.319)
Test: [1200/134730]	Time 0.022 (0.023)	Loss 1.8368 (0.4022)	Acc@1 0.000 (86.404)
Test: [1300/134730]	Time 0.025 (0.023)	Loss 1.6799 (0.3965)	Acc@1 0.000 (86.706)
Test: [1400/134730]	Time 0.015 (0.023)	Loss 0.1746 (0.3906)	Acc@1 100.000 (87.077)
Test: [1500/134730]	Time 0.030 (0.023)	Loss 0.2060 (0.3937)	Acc@1 100.000 (86.902)
